Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Deposit fee (EUR),Stamp duty reserve tax (EUR),Notes,ID,Currency conversion fee (EUR)
Market sell,2021-03-29 13:50:27,US7170811035,PFE,"Pfizer",0.4000000000,36.11,USD,1.17834,0.65,12.26,,,,,,,EOF1240293352,
Market buy,2021-03-29 13:51:08,US16941T1043,CPHI,"China Pharma Holdings",5.0000000000,1.19,USD,1.17790,,5.05,,,,,,,EOF1240293767,
Market buy,2021-03-29 13:57:10,CA42981E1043,HITIF,"High Tide",10.0000000000,0.68,USD,1.17738,,5.80,,,,,,,EOF1240297557,
Market sell,2021-03-31 14:28:46,GB0009895292,AZN,"AstraZeneca",0.4500000000,7249.00,GBX,85.15329,1.02,38.31,,,,,,,EOF1245314150,
Market buy,2021-03-31 14:30:27,CA42981E1043,HITIF,"High Tide",60.0000000000,0.68,USD,1.17437,,34.77,,,,,,,EOF1245314594,
Market buy,2021-03-31 14:33:58,US88338N1072,TXMD,"TherapeuticsMD",3.0000000000,1.36,USD,1.17433,,3.47,,,,,,,EOF1245316183,
Dividend (Ordinary),2021-04-01 12:59:29,GB0009895292,AZN,"AstraZeneca",0.5500000000,137.40,GBX,Not available,,0.89,0.00,GBX,,,,,,
Market sell,2021-04-01 17:59:29,US02083E1055,ALPP,"Alpine 4",10.0000000000,4.24,USD,1.17743,0.86,36.01,,,,,,,EOF1250854102,
Market buy,2021-04-01 18:04:40,CA42981E1043,HITIF,"High Tide",7.0000000000,0.67,USD,1.17698,,3.98,,,,,,,EOF1250854709,
Market buy,2021-04-05 13:50:38,MHY1146L1092,CTRM,"Castor Maritime ",30.0000000000,0.57,USD,1.17911,,14.60,,,,,,,EOF1254909930,0.02
Market buy,2021-04-05 14:00:52,MHY1146L1092,CTRM,"Castor Maritime ",36.0000000000,0.59,USD,1.17959,,17.95,,,,,,,EOF1254913668,0.03
Market sell,2021-04-06 07:29:47,FR0010478248,ATA,"Atari",35.0000000000,0.84,EUR,1.00000,5.13,29.33,,,,,,,EOF1258827855,
Market buy,2021-04-06 07:38:09,GB0009895292,AZN,"AstraZeneca",0.3400000000,7120.00,GBX,85.07950,,28.63,,,,,0.14,,EOF1258829156,0.04
Deposit,2021-04-06 09:25:58,,,,,,,,,5.00,,,5.04,0.04,,"Transaction ID: 4726177011575653",97aba52f-5aba-460a-923f-e226aa5566b9,
Deposit,2021-04-06 09:30:16,,,,,,,,,60.00,,,60.42,0.42,,"Transaction ID: 1336177014155972",428e915d-addc-4083-84c7-c2c8674227da,
Market buy,2021-04-06 09:46:14,US36467W1099,GS2C,"GameStop",0.2000000000,157.20,EUR,1.00000,,31.44,,,,,,,EOF1258841390,
Dividend (Ordinary),2021-04-06 13:06:33,US1912161007,KO,"Coca-Cola",0.4500000000,0.36,USD,Not available,,0.14,0.03,USD,,,,,,
Market buy,2021-04-07 07:28:19,CH0100191136,RLF,"Relief Therapeutics",100.0000000000,0.28,CHF,1.10387,,25.50,,,,,,,EOF1263876189,0.04
Market buy,2021-04-07 07:41:47,CH0100191136,RLF,"Relief Therapeutics",42.0000000000,0.28,CHF,1.10346,,10.64,,,,,,,EOF1263877124,0.02
Market sell,2021-04-07 10:52:28,VGG7223M1005,PREM,"Premier African Minerals",8000.0000000000,0.20,GBX,86.05851,-7.50,18.59,,,,,,,EOF1263890804,
Market buy,2021-04-07 13:30:02,CA42981E1043,HITIF,"High Tide",30.0000000000,0.63,USD,1.18932,,15.85,,,,,,,EOF1263902634,0.02
Deposit,2021-04-08 07:05:24,,,,,,,,,35.00,,,35.25,0.25,,"Transaction ID: 1859178655220312",26f7a19b-e3a2-4fa2-a623-0af87f76166e,
Market buy,2021-04-08 13:33:42,US62914V1061,NIO,"NIO Inc",1.0000000000,37.60,USD,1.18867,,31.68,,,,,,,EOF1268381151,0.05
Market buy,2021-04-08 14:16:41,CA42981E1043,HITIF,"High Tide",10.0000000000,0.59,USD,1.19024,,4.95,,,,,,,EOF1268406623,0.01
Deposit,2021-04-08 17:29:43,,,,,,,,,100.00,,,100.70,0.70,,"Transaction ID: 6239179029815688",0b570b84-6a32-4bf0-9b1a-df194cf50de3,
Market buy,2021-04-08 17:30:24,US0909112072,BIOL,"Biolase",115.0000000000,0.98,USD,1.19170,,95.00,,,,,,,EOF1269097433,0.14
Market buy,2021-04-08 17:34:29,CA42981E1043,HITIF,"High Tide",11.0000000000,0.60,USD,1.19181,,5.58,,,,,,,EOF1269098182,0.01
Dividend (Return of capital),2021-04-13 16:02:21,DE0005557508,DTE,"Deutsche Telekom",1.0000000000,0.60,EUR,Not available,,0.60,0.00,EUR,,,,,,
Deposit,2021-04-14 06:33:46,,,,,,,,,630.00,,,634.41,4.41,,"Transaction ID: 4826183820255593",eb9e4067-8cc5-4983-8780-42f5bb44423c,
Market buy,2021-04-14 07:04:23,US88160R1014,TL0,"Tesla",0.9600000000,632.70,EUR,1.00000,,607.39,,,,,,,EOF1278777616,
Market buy,2021-04-14 07:08:57,DE0005557508,DTE,"Deutsche Telekom",1.0000000000,15.93,EUR,1.00000,,15.93,,,,,,,EOF1278778161,
Market buy,2021-04-14 07:11:42,FR0010478248,ATA,"Atari",8.0000000000,0.90,EUR,1.00000,,7.20,,,,,,,EOF1278778399,
Deposit,2021-04-14 10:10:08,,,,,,,,,150.00,,,151.05,1.05,,"Transaction ID: 1346183950078788",d49b4212-65e4-43fa-b3e7-ea8003b9f851,
Limit buy,2021-04-14 13:48:54,US62914V1061,NIO,"NIO Inc",4.0000000000,38.50,USD,1.19631,,128.92,,,,,,,EOF1279873765,0.19
Market sell,2021-04-14 14:36:16,US88160R1014,TSLA,"Tesla",0.7000000000,753.50,USD,1.19645,30.57,440.85,,,,,,,EOF1279900223,
Market buy,2021-04-14 14:42:26,US62914V1061,NIO,"NIO Inc",2.0000000000,37.70,USD,1.19633,,63.12,,,,,,,EOF1279903003,0.09
Withdrawal,2021-04-14 14:51:00,,,,,,,,,400.00,,,,,,"Sent to card *6145",29334db0-a512-455e-839a-d04fa27e227f,
Market sell,2021-04-19 14:32:41,GB00B15XDH89,GGP,"Greatland Gold",50.0000000000,22.00,GBX,86.14411,0.03,12.77,,,,,,,EOF1291401213,
Market buy,2021-04-19 15:00:32,GB00BNK9TP58,TRST,"Trustpilot",3.0000000000,314.60,GBX,85.95189,,11.05,,,,,0.05,,EOF1291411503,0.02
Market sell,2021-04-20 14:50:15,CA37958K1093,REZZF,"Global Battery Metals",10.0000000000,0.30,USD,1.20487,-4.68,2.47,,,,,,,EOF1294723066,
Market sell,2021-04-20 14:54:27,US1891251076,CLWD,"CloudCommerce",405.0000000000,0.03,USD,1.20476,-24.60,8.44,,,,,,,EOF1294724706,
Market buy,2021-04-20 14:59:28,CA09228F1036,BB,"BlackBerry",1.5000000000,8.32,USD,1.20468,,10.38,,,,,,,EOF1294726704,0.02
Market sell,2021-04-21 09:17:34,GB00BH3X7Y70,KOD,"Kodal Minerals",3000.0000000000,0.12,GBX,86.26887,-1.04,4.17,,,,,,,EOF1295782364,
Market buy,2021-04-21 09:20:54,FR0010478248,ATA,"Atari",8.8000000000,0.68,EUR,1.00000,,5.99,,,,,,,EOF1295782565,
Deposit,2021-04-27 16:00:46,,,,,,,,,25.00,,,25.18,0.18,,"Transaction ID: 1839195392459412",c0b422be-09d7-4f58-a58e-0255ed183da1,
Market buy,2021-04-27 16:18:51,US35906A3068,FTR,"Frontier Communications",150.0000000000,0.10,USD,1.20704,,12.94,,,,,,,EOF1307677543,0.02
Market sell,2021-04-27 17:48:38,US62914V1061,NIO,"NIO Inc",1.0000000000,41.49,USD,1.20819,1.64,34.34,,,,,,,EOF1307687922,
Market buy,2021-04-27 17:49:11,CA60255C1095,MNMD,"MindMed",10.0000000000,4.43,USD,1.20784,,36.74,,,,,,,EOF1307687983,0.06
Market buy,2021-04-27 17:50:19,CA42981E1043,HITIF,"High Tide",20.0000000000,0.53,USD,1.20794,,8.70,,,,,,,EOF1307688063,0.01
Market sell,2021-04-28 15:29:43,US02083E1055,ALPP,"Alpine 4",24.0000000000,5.20,USD,1.20976,18.79,103.16,,,,,,,EOF1309732716,
Market buy,2021-04-28 19:26:02,US02083E1055,ALPP,"Alpine 4",20.0000000000,4.97,USD,1.21157,,82.16,,,,,,,EOF1309762138,0.12
Market buy,2021-04-28 19:35:36,US8051111016,SVRA,"Savara ",12.5000000000,2.03,USD,1.21194,,20.97,,,,,,,EOF1309763397,0.03
Deposit,2021-04-28 19:49:39,,,,,,,,,20.00,,,20.14,0.14,,"Transaction ID: 1646196393781815",4024b6bf-80d3-4ddb-9aa2-74b9051a4165,
Market buy,2021-04-28 19:50:24,VGG9396G1182,MYT,"Urban Tea ",8.4000000000,2.91,USD,1.21224,,20.19,,,,,,,EOF1309765788,0.03
Deposit,2021-04-29 12:02:55,,,,,,,,,100.00,,,100.70,0.70,,"Transaction ID: 1636196977731923",c2673ecf-734f-4ce3-af89-a2ce4823ce74,
Market buy,2021-04-29 12:04:04,FR0010478248,ATA,"Atari",140.0000000000,0.66,EUR,1.00000,,92.26,,,,,,,EOF1310685528,
Market buy,2021-04-29 12:23:22,GB00BNK9TP58,TRST,"Trustpilot",2.4000000000,314.00,GBX,86.90499,,8.72,,,,,0.04,,EOF1310686485,0.01
Deposit,2021-04-30 19:04:16,,,,,,,,,10.00,,,10.07,0.07,,"Transaction ID: 1829198094557352",f043c103-76b8-4ae4-92c4-93025f126169,
